hostname,pl_name,pl_orbsmax,sy_pnum
"Kepler-372","Kepler-372 c",0.1540000000,3
"Kepler-338","Kepler-338 c",0.1720000000,4
"GJ 3998","GJ 3998 c",0.0900000000,3
"HD 215152","HD 215152 d",0.0879900000,4
"Kepler-224","Kepler-224 e",0.1240000000,4
"Kepler-363","Kepler-363 d",0.1070000000,3
"K2-37","K2-37 b",0.0510500000,3
"HD 31527","HD 31527 b",0.1254000000,3
"Kepler-286","Kepler-286 d",0.0610000000,4
"TOI-561","TOI-561 e",0.3300000000,4
"CoRoT-7","CoRoT-7 c",0.0460000000,3
"Kepler-51","Kepler-51 b",0.2514000000,4
"Kepler-47","Kepler-47 b",0.2877000000,3
"HD 110067","HD 110067 e",0.1785000000,6
"HD 23472","HD 23472 c",0.1646000000,5
"Kepler-339","Kepler-339 c",0.0690000000,3
"Kepler-310","Kepler-310 c",0.2810000000,3
"Kepler-454","Kepler-454 b",0.0952800000,3
"Kepler-311","Kepler-311 c",0.1450000000,3
"Kepler-223","Kepler-223 c",0.0911700000,4
"HD 27894","HD 27894 c",0.1980000000,3
"KOI-94","KOI-94 c",0.1013000000,4
"Kepler-250","Kepler-250 d",0.1270000000,3
"K2-155","K2-155 c",0.0946000000,3
"Kepler-289","Kepler-289 b",0.2118300000,4
"Kepler-9","Kepler-9 b",0.1430000000,3
"61 Vir","61 Vir c",0.2175000000,3
"K2-285","K2-285 c",0.0824000000,4
"Kepler-332","Kepler-332 d",0.1890000000,3
"Kepler-26","Kepler-26 c",0.1072500000,4
"Kepler-102","Kepler-102 f",0.1656000000,5
"Kepler-10","Kepler-10 b",0.0168500000,3
"Kepler-271","Kepler-271 d",0.0555400000,3
"HD 108236","TOI-1233.01",0.1074000000,5
"K2-157","K2-157 c",0.1650000000,3
"XO-2 N","XO-2 N b",0.0366600000,4
"TOI-712","TOI-712 d",0.3405000000,3
"K2-58","K2-58 b",0.0692000000,3
"Kepler-301","Kepler-301 c",0.0600000000,3
"Kepler-619","Kepler-619 b",0.0601400000,3
"Kepler-124","Kepler-124 d",0.1700000000,3
"Kepler-81","Kepler-81 b",0.0522000000,3
"HD 142","HD 142 A d",0.4740000000,3
"HD 176986","HD 176986 b",0.0629560000,3
"Kepler-758","Kepler-758 b",0.1075400000,4
"Kepler-65","Kepler-65 c",0.0680000000,4
"TOI-451","TOI-451 b",0.0274000000,3
"Kepler-186","Kepler-186 b",0.0343000000,5
"Kepler-150","Kepler-150 e",0.1890000000,5
"Kepler-394","Kepler-394 c",0.1100000000,3
"HD 136352","HD 136352 d",0.4250000000,3
"K2-183","K2-183 d",0.1527000000,3
"TOI-178","TOI-178 b",0.0260700000,6
"Kepler-217","Kepler-217 b",0.0650000000,3
"Kepler-126","Kepler-126 b",0.0990000000,3
"TOI-2076","TOI-2076 d",0.1982000000,4
"Kepler-372","Kepler-372 b",0.0750000000,3
"Kepler-174","Kepler-174 b",0.1000000000,3
"Kepler-178","Kepler-178 b",0.0850000000,3
"Kepler-107","Kepler-107 e",0.1263800000,4
"HD 22946","TOI-411 b",0.0572700000,3
"Kepler-11","Kepler-11 c",0.1070000000,6
"HD 141399","HD 141399 c",0.6890000000,4
"HD 184010","HD 184010 d",1.9200000000,3
"Wolf 1061","Wolf 1061 b",0.0375000000,3
"Kepler-107","Kepler-107 d",0.0837700000,4
"Kepler-238","Kepler-238 f",0.2863500000,5
"Kepler-450","Kepler-450 c",0.1335100000,3
"TOI-1117","TOI-1117 d",0.0817000000,3
"Kepler-220","Kepler-220 e",0.2260000000,4
"Kepler-60","Kepler-60 d",0.1020300000,3
